type,mass,luminosity,radius,temp,ci,absmag,bolocorr,bolomag,r,g,b
B-V,7.97,7472.6,4.416,19855,-0.219,-1.49,-1.955,-3.445,0.6584,0.7376,1.0000
C-V,0.53,0.2094788,0.5254,3780,1.45,11.48,-2.554,8.926,1.0000,0.8824,0.7608
F-V,1.39,4.383,1.511,6770,0.443,3.34,-0.094,3.246,0.9259,0.9275,0.9969
G-V,0.93,1.0075,1.109,5505,0.772,5.07,-0.262,4.808,1.0000,0.9376,0.8855
K-V,0.67,0.2995,0.9942,4270,1.183,7.17,-1.012,6.158,1.0000,0.8569,0.6706
M-V,0.27,0.026941,0.544,2750,1.903,14,-4.464,9.536,1.0000,0.8196,0.6067
N-V,0.27,0.026941,0.544,2750,1.903,14,-4.464,9.536,1.0000,0.8196,0.6067
O-V,64.50,513570,13.164,40100,-0.331,-5.21,-3.904,-9.114,0.5855,0.6733,1.0000
R-V,0.73,0.4956,1.111,4530,1.098,6.57,-0.876,5.694,1.0000,0.8976,0.7796
S-V,0.27,0.026941,0.544,2750,1.903,14,-4.464,9.536,1.0000,0.8196,0.6067
WC-V,64.50,513570,13.164,40100,-0.331,-5.21,-3.904,-9.114,0.5851,0.6737,1.0000
WN-V,64.50,513570,13.164,40100,-0.331,-5.21,-3.904,-9.114,0.5855,0.6733,1.0000
A-VI,1.66,10.603,1.316,8775,0.05,2.71,-0.256,2.454,0.7741,0.8263,1.0000
B-VI,3.54,3985.6,3.206,19855,-0.219,-0.78,-1.955,-2.735,0.6580,0.7345,1.0000
C-VI,0.46,0.080202,0.4266,3780,1.45,11.61,-2.554,9.056,1.0000,0.8467,0.6827
F-VI,1.13,1.2712,0.8115,6770,0.443,4.69,-0.094,4.596,0.9380,0.9357,0.9976
G-VI,0.80,0.3006,0.6042,5505,0.772,6.39,-0.262,6.128,1.0000,0.9537,0.9231
K-VI,0.50,0.09318,0.5618,4270,1.183,8.41,-1.012,7.398,1.0000,0.8439,0.6929
M-VI,0.14,0.008449,0.339,2750,1.903,15.05,-4.464,10.586,1.0000,0.7820,0.4780
N-VI,0.14,0.008449,0.339,2750,1.903,15.05,-4.464,10.586,1.0000,0.7820,0.4780
O-VI,22.69,383910,11.152,40100,-0.331,-4.83,-3.904,-8.734,0.5988,0.6831,1.0000
R-VI,0.52,0.12433,0.5366,4530,1.098,8.15,-0.876,7.274,1.0000,0.8753,0.7518
S-VI,0.14,0.008449,0.339,2750,1.903,15.05,-4.464,10.586,1.0000,0.7820,0.4780
WC-VI,22.69,383910,11.152,40100,-0.331,-4.83,-3.904,-8.734,0.5988,0.6831,1.0000
WN-VI,22.69,383910,11.152,40100,-0.331,-4.83,-3.904,-8.734,0.6039,0.6875,1.0000
