Type,Mass Mstar/Msun,Luminosity Lstar/Lsun,Radius Rstar/Rsun,Temp K,Color Index (B-V),Abs Mag Mv,Bolo Corr Temp,Bolo Mag Mbol,r,g,b
WC2IV,105.7,8.72E+05,1.54E+01,45600,-0.35,-5.8,-4.3,-10.1,0.580392157,0.662745098,1
WC2V,95,7.95E+05,1.47E+01,45600,-0.35,-5.7,-4.3,-10,0.57254902,0.662745098,1
WC2VI,30,6.03E+05,1.28E+01,45600,-0.35,-5.4,-4.3,-9.7,0.580392157,0.666666667,1
WC3Ia0,159,1.68E+07,7.69E+01,42800,-0.34,-9.2,-4.12,-13.32,0.580392157,0.666666667,1
WC3Ia,148,1.85E+06,2.55E+01,42800,-0.34,-6.8,-4.12,-10.92,0.592156863,0.674509804,1
WC3Ib,136.9,1.40E+06,2.22E+01,42800,-0.34,-6.5,-4.12,-10.62,0.592156863,0.674509804,1
WC3II,125.8,1.21E+06,2.00E+01,43400,-0.34,-6.3,-4.16,-10.46,0.592156863,0.674509804,1
WC3III,114.7,9.17E+05,1.75E+01,43400,-0.34,-6,-4.16,-10.16,0.584313725,0.678431373,1
WC3IV,103.6,6.96E+05,1.52E+01,43400,-0.34,-5.7,-4.16,-9.86,0.588235294,0.670588235,1
WC3V,92.5,6.34E+05,1.45E+01,43400,-0.34,-5.6,-4.16,-9.76,0.580392157,0.666666667,1
WC3VI,23,4.81E+05,1.26E+01,43400,-0.34,-5.3,-4.16,-9.46,0.592156863,0.674509804,1
WC4Ia0,158.7,1.32E+07,7.64E+01,40400,-0.33,-9.1,-3.95,-13.05,0.592156863,0.674509804,1
WC4Ia,147.3,1.74E+06,2.77E+01,40400,-0.33,-6.9,-3.95,-10.85,0.6,0.682352941,1
WC4Ib,135.8,1.20E+06,2.31E+01,40400,-0.33,-6.5,-3.95,-10.45,0.6,0.682352941,1
WC4II,124.4,9.60E+05,1.98E+01,41200,-0.34,-6.2,-4.01,-10.21,0.6,0.682352941,1
WC4III,112.9,7.28E+05,1.73E+01,41200,-0.34,-5.9,-4.01,-9.91,0.592156863,0.68627451,1
WC4IV,101.5,5.52E+05,1.50E+01,41200,-0.34,-5.6,-4.01,-9.61,0.596078431,0.674509804,1
WC4V,90,5.04E+05,1.44E+01,41200,-0.34,-5.5,-4.01,-9.51,0.584313725,0.670588235,1
WC4VI,20,3.82E+05,1.25E+01,41200,-0.34,-5.2,-4.01,-9.21,0.6,0.682352941,1
WC5Ia0,158.4,1.03E+07,7.62E+01,38000,-0.33,-9,-3.78,-12.78,0.6,0.682352941,1
WC5Ia,142,1.48E+06,2.90E+01,38000,-0.33,-6.9,-3.78,-10.68,0.607843137,0.690196078,1
WC5Ib,125.6,1.03E+06,2.41E+01,38000,-0.33,-6.5,-3.78,-10.28,0.607843137,0.690196078,1
