sl,si,lum,massratio,lumratio,radiusratio,temp,ci,absmag,bcorr,bmag,r,g,b
M,2,V,0.4,3.21E-02,6.14E-01,3167,1.65,11.2,-2.72,8.48,1,0.768627451,0.51372549
M,2,VI,0.2,8.85E-03,3.22E-01,3167,1.65,12.6,-2.72,9.88,1,0.768627451,0.51372549
M,3,Ia0,13.8,5.07E+06,7.89E+03,3130,1.67,-9.2,-2.81,-12.01,1,0.752941176,0.462745098
M,3,Ia,11.6,7.33E+05,3.00E+03,3130,1.67,-7.1,-2.81,-9.91,1,0.752941176,0.462745098
M,3,Ib,9.3,1.68E+05,1.44E+03,3130,1.67,-5.5,-2.81,-8.31,1,0.752941176,0.462745098
M,3,II,7.1,1.40E+04,4.14E+02,3130,1.67,-2.8,-2.81,-5.61,1,0.788235294,0.466666667
M,3,III,4.8,1.84E+03,1.50E+02,3130,1.67,-0.6,-2.81,-3.41,1,0.784313725,0.466666667
M,3,IV,2.6,7.76E+01,3.36E+01,3000,1.74,3.2,-3.18,0.02,1,0.823529412,0.611764706
M,3,V,0.3,1.78E-02,5.09E-01,3000,1.74,12.3,-3.18,9.12,1,0.807843137,0.505882353
M,3,VI,0.2,4.90E-03,2.67E-01,3000,1.74,13.7,-3.18,10.52,1,0.807843137,0.505882353
M,4,Ia0,13.2,8.38E+06,1.15E+04,2940,1.77,-9.2,-3.36,-12.56,1,0.725490196,0.407843137
M,4,Ia,11,1.10E+06,4.18E+03,2940,1.77,-7,-3.36,-10.36,1,0.725490196,0.407843137
M,4,Ib,8.9,2.77E+05,2.09E+03,2940,1.77,-5.5,-3.36,-8.86,1,0.725490196,0.407843137
M,4,II,6.7,2.31E+04,6.04E+02,2940,1.77,-2.8,-3.36,-6.16,1,0.780392157,0.447058824
M,4,III,4.6,2.77E+03,2.09E+02,2940,1.77,-0.5,-3.36,-3.86,1,0.807843137,0.498039216
M,4,IV,2.4,1.27E+02,4.83E+01,2833,1.83,3.2,-3.71,-0.51,1,0.819607843,0.607843137
M,4,V,0.3,1.06E-02,4.40E-01,2833,1.83,13.4,-3.71,9.69,1,0.788235294,0.498039216
M,4,VI,0.1,2.66E-03,2.21E-01,2833,1.83,14.9,-3.71,11.19,1,0.788235294,0.498039216
M,5,Ia0,12.5,1.53E+07,1.78E+04,2750,1.88,-9.2,-4.01,-13.21,1,0.698039216,0.305882353
M,5,Ia,10.5,2.02E+06,6.45E+03,2750,1.88,-7,-4.01,-11.01,1,0.698039216,0.305882353
M,5,Ib,8.4,5.07E+05,3.23E+03,2750,1.88,-5.5,-4.01,-9.51,1,0.698039216,0.305882353
M,5,II,6.4,4.62E+04,9.76E+02,2750,1.88,-2.9,-4.01,-6.91,1,0.77254902,0.431372549
M,5,III,4.3,5.07E+03,3.23E+02,2750,1.88,-0.5,-4.01,-4.51,1,0.77254902,0.48627451
M,5,IV,2.3,2.07E+02,6.94E+01,2667,1.93,3.3,-4.34,-1.04,1,0.819607843,0.603921569
M,5,V,0.2,6.24E-03,3.81E-01,2667,1.93,14.6,-4.34,10.26,1,0.8,0.435294118
M,5,VI,0.1,1.72E-03,2.00E-01,2667,1.93,16,-4.34,11.66,1,0.8,0.435294118
M,6,Ia0,12.4,2.88E+07,2.81E+04,2560,2,-9.1,-4.8,-13.9,1,0.670588235,0.203921569
M,6,Ia,10.3,4.17E+06,1.07E+04,2560,2,-7,-4.8,-11.8,1,0.670588235,0.203921569
M,6,Ib,8.3,9.55E+05,5.12E+03,2560,2,-5.4,-4.8,-10.2,1,0.670588235,0.203921569
M,6,II,6.3,9.55E+04,1.62E+03,2560,2,-2.9,-4.8,-7.7,1,0.764705882,0.411764706
M,6,III,4.2,9.55E+03,5.12E+02,2560,2,-0.4,-4.8,-5.2,1,0.698039216,0.474509804
M,6,IV,2.2,4.10E+02,1.11E+02,2500,2.03,3.3,-5.08,-1.78,1,0.815686275,0.6
M,6,V,0.2,4.50E-03,3.68E-01,2500,2.03,15.7,-5.08,10.62,1,0.764705882,0.439215686
M,6,VI,0.1,1.63E-03,2.22E-01,2500,2.03,16.8,-5.08,11.72,1,0.764705882,0.439215686
M,7,Ia0,12.3,6.96E+07,5.10E+04,2370,2.12,-9.1,-5.76,-14.86,1,0.643137255,0.101960784
M,7,Ia,10.2,9.18E+06,1.85E+04,2370,2.12,-6.9,-5.76,-12.66,1,0.643137255,0.101960784
